Target	Sample	Day	Treatment	Expression
TGF-b1	7d N200 7	d7	N200	1.98109
TGF-b1	7d N200 6	d7	N200	1.71048
TGF-b1	7d N200 5	d7	N200	1.50841
TGF-b1	7d N200 4	d7	N200	2.26364
TGF-b1	7d N200 3	d7	N200	1.56411
TGF-b1	7d N200 2	d7	N200	1.78536
TGF-b1	7d N200 1	d7	N200	1.52330
TGF-b1	7d N100 7	d7	N100	1.49254
TGF-b1	7d N100 6	d7	N100	1.80597
TGF-b1	7d N100 5	d7	N100	1.06700
TGF-b1	7d N100 4	d7	N100	1.33074
TGF-b1	7d N100 3	d7	N100	2.39185
TGF-b1	7d N100 2	d7	N100	2.61091
TGF-b1	7d N100 1	d7	N100	1.00226
TGF-b1	7d 6	d7	control	1.48957
TGF-b1	7d 5	d7	control	0.96195
TGF-b1	7d 4	d7	control	1.38754
TGF-b1	7d 3	d7	control	1.57719
TGF-b1	7d 2	d7	control	1.55456
TGF-b1	7d 1	d7	control	1.07821
TGF-b1	4d N200 6	d4	N200	1.70295
TGF-b1	4d N200 5	d4	N200	3.23928
TGF-b1	4d N200 4	d4	N200	2.39329
TGF-b1	4d N200 3	d4	N200	2.44918
TGF-b1	4d N200 2	d4	N200	2.41663
TGF-b1	4d N200 1	d4	N200	2.54582
TGF-b1	4d N100 6	d4	N100	1.60892
TGF-b1	4d N100 5	d4	N100	1.18749
TGF-b1	4d N100 4	d4	N100	1.27815
TGF-b1	4d N100 3	d4	N100	1.37657
TGF-b1	4d N100 2	d4	N100	1.72458
TGF-b1	4d N100 1	d4	N100	1.91788
TGF-b1	4d 6	d4	control	0.82373
TGF-b1	4d 5	d4	control	1.50843
TGF-b1	4d 4	d4	control	1.75255
TGF-b1	4d 3	d4	control	0.81584
TGF-b1	4d 2	d4	control	1.58017
TGF-b1	4d 1	d4	control	1.20974
TGF-b1	14d N200 7	d14	N200	0.74116
TGF-b1	14d N200 6	d14	N200	1.20818
TGF-b1	14d N200 5	d14	N200	1.11735
TGF-b1	14d N200 4	d14	N200	1.08219
TGF-b1	14d N200 3	d14	N200	1.48667
TGF-b1	14d N200 2	d14	N200	1.57335
TGF-b1	14d N200 1	d14	N200	1.33148
TGF-b1	14d N100 6	d14	N100	0.34914
TGF-b1	14d N100 5	d14	N100	1.50444
TGF-b1	14d N100 4	d14	N100	1.03088
TGF-b1	14d N100 3	d14	N100	0.81738
TGF-b1	14d N100 2	d14	N100	1.09343
TGF-b1	14d N100 1	d14	N100	1.35728
TGF-b1	14d 6	d14	control	0.97025
TGF-b1	14d 5	d14	control	0.60308
TGF-b1	14d 4	d14	control	0.80517
TGF-b1	14d 3	d14	control	0.74337
TGF-b1	14d 2	d14	control	0.76905
TGF-b1	14d 1	d14	control	0.75703
