origin	population	germination
control	control	1
control	control	2
control	control	3
control	control	3
control	control	5
control	control	6
control	control	7
control	control	7
control	control	8
control	control	8
control	control	8
control	control	8
control	control	8
control	control	8
control	control	9
control	control	9
control	control	9
control	control	9
control	control	9
control	control	9
control	control	9
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
control	control	10
invasive	1	0
invasive	1	0
invasive	1	0
invasive	1	0
invasive	1	1
invasive	1	1
invasive	1	4
invasive	1	8
invasive	1	10
invasive	1	10
invasive	2	0
invasive	2	1
invasive	2	1
invasive	2	2
invasive	2	3
invasive	2	6
invasive	2	6
invasive	2	8
invasive	2	9
invasive	2	10
invasive	3	0
invasive	3	0
invasive	3	1
invasive	3	1
invasive	3	2
invasive	3	3
invasive	3	9
invasive	3	10
invasive	3	10
invasive	4	0
invasive	4	0
invasive	4	0
invasive	4	0
invasive	4	1
invasive	4	4
invasive	4	8
invasive	4	10
invasive	4	10
invasive	4	10
native	1	0
native	1	1
native	1	2
native	1	7
native	1	7
native	1	9
native	1	9
native	1	10
native	1	10
native	1	10
native	2	0
native	2	0
native	2	0
native	2	1
native	2	3
native	2	3
native	2	9
native	2	10
native	2	10
native	2	10
native	3	2
native	3	8
native	3	9
native	3	10
native	3	10
native	3	10
native	3	10
native	3	10
native	4	0
native	4	1
native	4	1
native	4	1
native	4	2
native	4	5
native	4	7
native	4	10
native	4	10
native	4	10
