ID	treatment	biomass	seed_count	seed_weight	germination_count	germination_percent	seed_yield
C1	C	9.4	0	0	0	0	0
C2	C	9.2	0	0	0	0	0
C3	C	5.7	25	4.4	3	12	110
C4	C	12.9	88	8.2	31	35.22727273	721.6
C5	C	7.2	0	0	0	0	0
C6	C	11.4	16	9.8	0	0	156.8
C7	C	6.6	0	0	5	0	0
C8	C	7.5	0	0	0	0	0
C9	C	7.5	16	3.7	0	0	59.2
C10	C	13.6	164	8.4	21	12.80487805	1377.6
C11	C	7.7	0	0	0	0	0
C12	C	8	124	14.1	58	46.77419355	1748.4
C13	C	7.8	102	7.8	3	2.941176471	795.6
C14	C	11.5	61	5.3	9	14.75409836	323.3
C15	C	11.7	31	6.4	0	0	198.4
C16	C	7.4	0	0	0	0	0
C17	C	6.3	0	0	0	0	0
C18	C	7.2	0	0	0	0	0
C19	C	7.7	0	0	0	0	0
C20	C	8.1	3	2.5	0	0	7.5
S1	S	7.9	3	4.6	0	0	13.8
S2	S	6.7	42	2.6	0	0	109.2
S3	S	3.5	0	0	0	0	0
S4	S	9.3	36	5	0.3	0.833333333	180
S5	S	5.7	48	11.8	7	14.58333333	566.4
S6	S	6.6	31	4.7	2	6.451612903	145.7
S7	S	6.4	2	4.2	0	0	8.4
S8	S	6	50	8.9	8	16	445
S9	S	10.2	0	0	0	0	0
S10	S	8.3	0	0	0	0	0
S11	S	5.9	0	0	0	0	0
S12	S	11.2	33	10.4	13	39.39393939	343.2
S13	S	7.7	11	3.2	0	0	35.2
S14	S	8.5	11	2.9	0	0	31.9
S15	S	7.2	47	4.8	11	23.40425532	225.6
S16	S	5.3	0	0	0	0	0
S17	S	3.9	19	32.2	10	52.63157895	611.8
S18	S	5.6	0	0	0	0	0
S19	S	6.6	0	0	0	0	0
S20	S	7.3	14	3.3	2	14.28571429	46.2
V1	V	15.6	31	20.8	5	16.12903226	644.8
V2	V						
V3	V	12	155	5.5	66	42.58064516	852.5
V4	V	11.3	41	4.5	12	29.26829268	184.5
V5	V	11.3	92	8.3	25	27.17391304	763.6
V6	V	12.3	145	5.7	41	28.27586207	826.5
V7	V	7.5	50	30	27	54	1500
V8	V	12.2	72	13.4	25	34.72222222	964.8
V9	V	12.6	163	10.8	14	8.588957055	1760.4
V10	V	8.4	2	3.4	0	0	6.8
V11	V	12.3	20	7.1	5	25	142
V12	V	13.6	44	5.2	20	45.45454546	228.8
V13	V	10.3	69	5.5	13	18.84057971	379.5
V14	V	11.6	46	4.8	20	43.47826087	220.8
V15	V	12.6	19	6.5	5	26.31578947	123.5
V16	V	11	25	5.1	3	12	127.5
V17	V	9.3	125	16.7	45	36	2087.5
V18	V	11.3	41	3.1	3	7.317073171	127.1
V19	V	9.4	73	13.2	43	58.90410959	963.6
V20	V	10.1	81	6.8	25	30.86419753	550.8
