no.;ctmax;dev.temp;dev.treat;observer
1;39.97;19;const;jesper
2;39.63;19;const;paul
3;39.66;19;const;jesper
4;40.03;19;const;jesper
5;40.09;19;const;paul
6;39.88;19;const;paul
7;39.75;19;const;jesper
8;40.31;19;const;jesper
9;39.85;19;const;jesper
10;40.39;19;const;jesper
11;40.22;19;const;jesper
12;39.89;19;const;paul
13;39.7;19;const;jesper
14;39.89;19;const;jesper
15;40.18;19;const;paul
16;40.04;19;const;jesper
17;40.43;19;const;paul
18;39.92;19;const;paul
19;39.72;19;const;jesper
20;40.21;19;const;jesper
21;40.41;19;fluct;jesper
22;40.22;19;fluct;paul
23;40.47;19;fluct;jesper
24;40.13;19;fluct;jesper
25;40.38;19;fluct;paul
26;40.44;19;fluct;jesper
27;40.34;19;fluct;paul
28;40.44;19;fluct;paul
29;40.29;19;fluct;jesper
30;40.34;19;fluct;paul
31;40.3;19;fluct;paul
32;40.32;19;fluct;jesper
33;40.45;19;fluct;jesper
34;40.58;19;fluct;paul
35;40.6;19;fluct;paul
36;40.5;19;fluct;paul
37;40.28;19;fluct;paul
38;40.4;19;fluct;paul
39;40.28;19;fluct;paul
40;40.58;19;fluct;paul
41;40.73;23;const;paul
42;39.79;23;const;paul
43;39.82;23;const;jesper
44;40.24;23;const;jesper
45;40.68;23;const;paul
46;40.43;23;const;jesper
47;40.01;23;const;jesper
48;38.64;23;const;paul
49;37;23;const;paul
50;40.52;23;const;paul
51;40.19;23;const;jesper
52;40.11;23;const;jesper
53;40.38;23;const;jesper
54;40.17;23;const;jesper
55;40.27;23;const;jesper
56;40.44;23;const;paul
57;40.18;23;const;jesper
58;40.69;23;const;paul
59;40.12;23;const;paul
60;40.62;23;const;paul
61;40.45;23;fluct;paul
62;40.34;23;fluct;jesper
63;40.72;23;fluct;paul
64;40.56;23;fluct;jesper
66;40.52;23;fluct;jesper
67;40.54;23;fluct;jesper
68;40.69;23;fluct;paul
69;40.69;23;fluct;paul
70;40.6;23;fluct;jesper
71;40.58;23;fluct;jesper
72;40.5;23;fluct;jesper
73;40.36;23;fluct;jesper
74;40.63;23;fluct;jesper
75;40.74;23;fluct;paul
76;40.72;23;fluct;paul
77;40.74;23;fluct;paul
78;40.62;23;fluct;jesper
79;40.73;23;fluct;paul
80;40.68;23;fluct;paul
