Precipitation	MFW	N_addition	Block	N_fix_71	N_fix_131	Tot_N_fix	Tot_moss_gain	moss_biomass_gain
F	B	O	1	45.34	9.55	12.77	4.44	0.549
F	B	O	2	23.87	6.73	6.71	10.02	0.435
F	B	O	3	17.69	8.65	5.20	-3.20	0.385
F	B	O	4	20.21	4.40	4.76	-2.70	-0.315
F	B	O	6	25.64	3.62	6.82	7.14	0.359
F	B	O	7	40.01	16.60	11.03	12.31	0.160
F	B	O	8	37.30	13.05	10.29	15.56	0.246
F	BS	O	1	32.76	16.44	9.84	-0.57	0.476
F	BS	O	2	11.37	0.00	2.94	7.18	0.426
F	BS	O	3	5.25	0.03	1.37	7.12	0.454
F	BS	O	4	2.95	0.16	0.72	1.22	0.040
F	BS	O	5	0.64	0.09	0.16	-2.28	0.001
F	BS	O	6	1.79	0.00	0.43	-2.60	0.109
F	BS	O	7	1.20	0.05	0.31	-0.53	0.434
F	BS	O	8	2.06	0.03	0.55	2.69	0.554
F	BX	O	1	23.82	7.18	6.42	3.05	0.199
F	BX	O	2	18.43	2.62	4.71	6.05	0.158
F	BX	O	3	25.19	8.33	6.96	7.52	0.284
F	BX	O	4	8.08	3.80	2.42	8.48	0.505
F	BX	O	5	85.09	12.14	22.15	2.15	0.245
F	BX	O	6	5.65	2.71	1.77	2.32	0.740
F	BX	O	7	47.44	13.93	12.88	0.57	0.245
F	BX	O	8	38.64	23.16	11.64	-2.43	0.364
F	C	O	1	0.00	0.07	0.01	-6.45	0.003
F	C	O	2	0.00	0.00	0.00	-4.67	0.298
F	C	O	3	0.00	0.04	0.00	1.21	-0.057
F	C	O	4	0.07	0.00	0.02	-0.66	0.095
F	C	O	6	0.00	0.47	0.03	-7.09	-0.242
F	C	O	7	0.44	0.00	0.11	-1.11	0.388
F	C	O	8	0.00	0.00	0.00	-4.48	0.297
I	B	O	1	31.56	60.95	11.93	-2.36	0.055
I	B	O	2	48.23	50.05	15.80	5.86	0.257
I	B	O	3	76.19	1.94	18.58	5.28	0.093
I	B	O	4	0.33	0.02	0.09	15.72	0.393
I	B	O	5	1.07	21.42	1.89	20.58	0.331
I	B	O	6	3.08	4.22	0.93	-3.92	-0.434
I	B	O	7	0.00	4.72	0.35	0.44	0.238
I	B	O	8	0.00	2.09	0.16	0.37	0.270
I	BS	O	1	0.20	0.06	0.05	-1.83	0.092
I	BS	O	2	35.62	28.41	10.96	-3.08	0.227
I	BS	O	3	0.08	0.03	0.02	-1.41	0.068
I	BS	O	4	0.89	0.00	0.21	9.76	0.075
I	BS	O	5	0.01	0.03	0.01	1.27	0.237
I	BS	O	6	0.42	0.05	0.10	-2.36	-0.359
