ID	sample	Breaking_force	Breaking_strain	Youngs_modulus_mN	Breaking_stress	Youngs_modulus_MPa	diameter	web_code	thread_code	web	thread
OR-1	q-1	0.513	0.146	14.151	180.133523775404	4968.94638390982	1.9047	O	R	Orb	Radius
OR-2	r-1	0.467	0.448	4.974	163.981200006069	1746.5577919276	1.9047	O	R	Orb	Radius
OR-3	s-1	1.171	0.473	4.633	411.181981171535	1626.81991355057	1.9047	O	R	Orb	Radius
OR-4	t-1	0.653	0.284	3.7	229.2927700299	1299.20865101168	1.9047	O	R	Orb	Radius
OR-5	u-1	0.72	0.303	8.976	252.818980737409	3151.80995985969	1.9047	O	R	Orb	Radius
OR-6	v-1	NA	NA	NA	NA	NA	1.9047	O	R	Orb	Radius
OR-7	w-1	1.683	0.327	3.284	590.964367473692	1153.13546214118	1.9047	O	R	Orb	Radius
OR-8	z-1	0.957	0.173	4.753	336.038561896805	1668.95641034014	1.9047	O	R	Orb	Radius
OR-9a	か-1	NA	NA	NA	NA	NA	1.9047	O	R	Orb	Radius
OR-9b	か-2	0.74	0.264	6.969	259.841730202337	2447.07705105417	1.9047	O	R	Orb	Radius
OR-10	き-1	0.743	0.176	22.394	260.895142622076	7863.3725758799	1.9047	O	R	Orb	Radius
OR-11a	さ-1	0.587	0.014	20.824	206.117696795637	7312.08674288305	1.9047	O	R	Orb	Radius
OR-11b	さ-3	NA	NA	NA	NA	NA	1.9047	O	R	Orb	Radius
OR-12a	し-1	0.733	0.277	14.707	257.383767889612	5164.17881903482	1.9047	O	R	Orb	Radius
OR-12b	し-2	NA	NA	NA	NA	NA	1.9047	O	R	Orb	Radius
OR-13a	す-1	0.875	0.213	18.849	307.245289090601	6618.59023322141	1.9047	O	R	Orb	Radius
OR-13b	す-2	1.31	0.321	8.974	459.990089952785	3151.1076849132	1.9047	O	R	Orb	Radius
OR-14a	せ-1	0.767	0.192	1.507	269.322441979989	529.164172182326	1.9047	O	R	Orb	Radius
OR-14b	せ-2	0.303	0.111	14.62	106.394654393659	5133.62985886238	1.9047	O	R	Orb	Radius
OR-15a	そ-1	NA	NA	NA	NA	NA	1.9047	O	R	Orb	Radius
OR-15b	そ-2	NA	NA	NA	NA	NA	1.9047	O	R	Orb	Radius
OF-1	OF-1	6.84	0.357	73.661	479.238889275145	5160.99646533574	4.264	O	F	Orb	Frame
OF-2	OF-2	9.222	0.301	56.811	426.547900239469	2627.69602694692	5.248	O	F	Orb	Frame
OF-3	OF-3	10.243	0.484	55.561	612.917943303296	3324.64452288143	4.614	O	F	Orb	Frame
OF-4	OF-4	11.15	0.176	112.32	197.906608781963	1993.62065456414	8.47173684210526	O	F	Orb	Frame
OF-5	OF-5	1.527	0.255	12.328	27.1034431937272	218.815486373457	8.47173684210526	O	F	Orb	Frame
OF-6	OF-6	1.706	0.173	16.956	30.2805986172224	300.960041121701	8.47173684210526	O	F	Orb	Frame
OF-7	OF-7	16.863	0.566	197.58	299.309340259215	3506.94060655967	8.47173684210526	O	F	Orb	Frame
OF-8	OF-8	5.053	0.112	95.471	323.455987667822	6111.35297815845	4.461	O	F	Orb	Frame
OF-9	OF-9	17.21	0.193	298.86	276.777766430765	4806.38020194645	8.9	O	F	Orb	Frame
OF-10	OF-10	4.24	0.254	147.37	162.291256218468	5640.76944078198	5.769	O	F	Orb	Frame
OF-11	OF-11	7.133	0.533	92.869	484.87232388429	6312.85684099399	4.329	O	F	Orb	Frame
OF-12	OF-12	14.26	0.23	147.33	818.856978445887	8460.18223242865	4.71	O	F	Orb	Frame
OF-13	OF-13	11.243	0.197	159.05	442.839240666843	6264.66078698402	5.687	O	F	Orb	Frame
OF-14	OF-14	6.107	0.343	52.897	354.891374839853	3073.96251103712	4.682	O	F	Orb	Frame
OF-15	OF-15	5.023	0.149	181.63	205.35905496803	7425.71474295109	5.582	O	F	Orb	Frame
RR-1a	RR-1a	1.533	0.858	1.535	201.991065237453	202.254589132087	3.109354	R	R	Resting	Radius
RR-1b	RR-1b	2.423	0.543	3.147	319.259198349868	414.654848207608	3.109354	R	R	Resting	Radius
RR-1c	RR-1c	4.233	0.394	5.132	557.748322994218	676.202313632489	3.109354	R	R	Resting	Radius
RR-1d	RR-1d	0.757	1.104	0.352	99.7437941192117	46.3802054556969	3.109354	R	R	Resting	Radius
RR-1e	RR-1e	3.61	0.945	9.26	475.660629815527	1220.11563215839	3.109354	R	R	Resting	Radius
RR-1f	RR-1f	0.997	0.279	2.561	131.366661475369	337.442347079658	3.109354	R	R	Resting	Radius
RR-1g	RR-1g	2.197	0.657	1.986	289.480998256153	261.679227372199	3.109354	R	R	Resting	Radius
RR-1h	RR-1h	1.63	0.454	1.01	214.771974127233	133.079566790494	3.109354	R	R	Resting	Radius
RR-1i	RR-1i	4.203	0.288	76.298	553.795464574699	10053.1730564169	3.109354	R	R	Resting	Radius
RR-1j	RR-1j	6.236	0.738	8.035	821.667503470811	1058.70724669467	3.109354	R	R	Resting	Radius
RR-2	RR-2	2.35	0.504	3.722	309.640576195703	490.417967915067	3.109354	R	R	Resting	Radius
RR-3	RR-3	3.747	0.484	2.172	493.712016598	286.18694957322	3.109354	R	R	Resting	Radius
RR-4a	RR-4a	0.957	0.535	2.25	126.096183582676	296.464381463971	3.109354	R	R	Resting	Radius
RR-4b	RR-4b	0.759	0.23	2.187	100.007318013846	288.16337878298	3.109354	R	R	Resting	Radius
RR-4c	RR-4c	0.547	0.363	3.696	72.0737851825744	486.992157284817	3.109354	R	R	Resting	Radius
RR-4d	RR-4d	0.347	0.045	8.116	45.7213957191103	1069.37996442737	3.109354	R	R	Resting	Radius
RR-4e	RR-4e	0.853	0.346	8.516	112.392941061675	1122.0847433543	3.109354	R	R	Resting	Radius
RR-4f	RR-4f	0.726	0.228	14.892	95.6591737523748	1962.19891944954	3.109354	R	R	Resting	Radius
RR-4g	RR-4g	1.163	0.444	3.344	153.239144730044	440.61195182912	3.109354	R	R	Resting	Radius
RR-5a	RR-5a	0.463	0.328	8.486	77.2590857233384	1416.02721695086	2.763	R	R	Resting	Radius
RR-5b	RR-5b	0.493	0.342	8.468	82.2650739991486	1413.02362398538	2.763	R	R	Resting	Radius
RR-5c	RR-5c	0.947	0.271	1.774	158.022363239744	296.020773376247	2.763	R	R	Resting	Radius
RR-5d	RR-5d	1.11	0.509	1.584	185.22156620498	264.316180962782	2.763	R	R	Resting	Radius
RR-5e	RR-5e	0.817	0.187	4.238	136.329747377899	707.17927709613	2.763	R	R	Resting	Radius
RR-5f	RR-5f	0.677	0.737	3.61	112.968468757452	602.387255855835	2.763	R	R	Resting	Radius
RR-5g	RR-5g	0.527	0.254	5.732	87.9385273784003	956.47749323148	2.763	R	R	Resting	Radius
RR-5h	RR-5h	0.796	0.408	3.675	132.825555584832	613.233563786757	2.763	R	R	Resting	Radius
RR-5i	RR-5i	0.853	0.551	3.676	142.336933308872	613.400430062617	2.763	R	R	Resting	Radius
RR-6	RR-6	0.306	0.074	2.264	222.201939033784	1644.00388879898	1.3245	R	R	Resting	Radius
RR-7a	RR-7a	1.367	0.268	2.629	180.118581982777	346.402159497236	3.109354	R	R	Resting	Radius
RR-7b	RR-7b	0.84	0.3	2.506	110.680035746549	330.195439977206	3.109354	R	R	Resting	Radius
RR-8	RR-8	0.81	0.195	21.564	106.72717732703	2841.3146319507	3.109354	R	R	Resting	Radius
RR-9a	RR-9a	1.197	0.276	10.542	157.719050938833	1389.03444861919	3.109354	R	R	Resting	Radius
RR-9b	RR-9b	1.547	0.287	10.175	203.835732499895	1340.67781395374	3.109354	R	R	Resting	Radius
