Treatment	ID	Sprint	pre
Control	sc07	76.9159920661159	74.7774944278236
Control	sc09	84.7875211805761	84.1291730104585
Control	sc10	79.452250201168	74.3715442323388
Control	sc11	88.5863848853261	86.1592074881917
Control	sc12	82.0869820225479	81.3601574296421
Control	sc14	84.0261625858711	80.3976661009444
Control	sc15	80.6543346134011	92.1121265686018
Control	sc17	94.7324886212478	89.6216650547011
Control	sc20	91.4843460532992	76.2694302195473
Control	sc21	86.9594331931154	87.6645498648542
Control	sc26	78.370258829286	80.9176058400596
Control	sc34	84.1109461869509	87.5276490123741
Endurance	sc01	90.5255654486493	85.196716159494
Endurance	sc03	76.6200963698432	80.0417238844962
Endurance	sc05	86.729344833491	88.7091817050399
Endurance	sc06	76.1078023991941	86.615165662713
Endurance	sc13	88.2604659289656	85.3517759588684
Endurance	sc18	76.3489377544747	80.2926142806066
Endurance	sc22	88.5152913694943	79.2938050581204
Endurance	sc23	91.234806791954	93.4124011668534
Endurance	sc24	87.0526207002598	83.9741132110842
Endurance	sc30	91.9361188664836	85.0005861043756
Endurance	sc31	84.6695965925275	92.8329487247908
Endurance	sc32	89.1671292822153	80.908668116767
Sprint	sc02	96.2936329768102	92.3359202945255
Sprint	sc04	94.579254593928	81.1687797364792
Sprint	sc08	93.9848201117908	86.1547386265454
Sprint	sc16	98.5313523259978	91.6516995324342
Sprint	sc19	93.634164074526	90.3606461577843
Sprint	sc25	101.577261342107	79.1298075354536
Sprint	sc27	86.4992564738666	89.7538135452257
Sprint	sc28	89.0439185149832	78.5274437845411
Sprint	sc29	94.3518093238953	87.755911599944
Sprint	sc33	93.3356252886615	90.0823755911779
Sprint	sc35	99.8076479809437	94.3522646870106
Sprint	sc36	92.6016468644525	86.8800296443807
