ID	treatment	Time	Weight
1	+/+	init	3.10602229672062
2	+/+	init	3.31816987444099
3	+/+	init	3.31766067511373
4	+/+	init	3.64235201913754
5	+/+	init	3.23162350044775
6	+/+	init	3.33393941452282
7	+/+	init	3.16071604035252
8	+/+	init	3.31371646778523
9	+/+	init	2.48583787258234
10	+/+	init	3.05997567496044
11	ob/ob	init	2.80765485128238
12	ob/ob	init	2.57331955762789
13	ob/ob	init	2.95404588130375
14	ob/ob	init	2.72901880812393
15	ob/ob	init	2.47258585088925
16	ob/ob	init	2.74519136829826
17	ob/ob	init	3.73593124519707
18	ob/ob	init	2.74515521244581
19	ob/ob	init	2.11940154501058
1	+/+	final	4.08017471885435
2	+/+	final	3.90549675217796
3	+/+	final	3.96372775818176
4	+/+	final	4.22414251054976
5	+/+	final	3.76855945062427
6	+/+	final	3.90819979089007
7	+/+	final	4.19217135278808
8	+/+	final	4.05115432421658
9	+/+	final	3.74367775601488
10	+/+	final	3.93401795850879
11	ob/ob	final	4.1636680144179
12	ob/ob	final	4.32710845421571
13	ob/ob	final	3.79917160023481
14	ob/ob	final	4.28424635700077
15	ob/ob	final	3.5943152959026
16	ob/ob	final	3.80176658331315
17	ob/ob	final	3.90173657789049
18	ob/ob	final	4.05947795419744
19	ob/ob	final	3.94711317674859
